971 9113
12 394 18.689
12 420 17.688
12 431 15.767
12 446 18.778
12 456 21.748
12 575 15.82
12 577 23.77
12 581 17.735
12 583 24.767
12 585 18.7
12 587 18.744
12 588 15.7
12 597 19.9
12 607 21.71
12 610 17.876
12 613 18.722
12 619 21.614
12 625 18.744
12 627 17.712
12 628 15.753
12 639 18.767
12 648 30.713
12 650 15.687
12 651 17.771
12 652 15.673
12 657 15.7
12 660 20.75
12 667 19.711
12 675 19.742
12 678 15.78
12 684 15.66
12 694 15.673
12 695 15.713
12 700 22.736
12 705 16.675
12 709 19.721
12 712 23.717
12 714 18.722
12 723 20.69
12 725 19.858
12 729 22.764
12 730 15.713
12 735 18.678
12 739 17.712
12 742 16.713
12 743 15.66
12 744 18.7
12 756 15.727
12 780 15.687
12 783 22.664
12 786 19.868
12 788 16.738
12 806 15.727
12 815 17.759
12 821 16.725
12 862 18.633
12 868 17.7
12 872 15.713
12 873 16.725
12 881 17.7
12 885 17.7
12 895 21.824
12 896 24.733
12 910 19.742
12 914 17.629
12 925 15.78
12 927 17.641
12 933 15.66
12 939 15.767
12 944 19.774
12 948 21.776
12 962 17.653
12 969 16.65
14 47 15.767
14 124 15.78
14 624 29.866
14 735 15.78
14 957 19.858
16 21 17.747
16 41 15.78
16 44 15.767
16 68 19.774
16 69 15.767
16 89 20.76
16 162 17.735
16 172 16.875
16 221 16.788
16 245 15.74
16 256 20.82
16 257 16.738
16 261 16.85
16 262 15.74
16 269 18.789
16 293 16.813
16 572 19.826
16 621 20.79
16 654 19.711
16 657 16.738
16 712 24.825
16 723 18.811
16 735 18.744
16 778 16.8
16 813 17.759
16 896 15.74
16 910 17.747
16 916 15.82
16 939 17.794
16 960 18.8
16 961 16.763
17 211 15.753
17 630 19.889
17 648 15.673
17 669 15.727
17 704 15.82
17 830 15.7
17 896 16.813
17 970 16.75
19 204 15.9
19 270 15.847
19 301 17.853
19 375 15.833
19 406 24.9
19 528 18.9
19 955 16.9
19 959 18.867
20 32 15.74
20 45 22.736
20 76 15.713
20 91 16.7
20 99 15.767
20 106 15.793
20 113 18.633
20 123 18.722
20 136 15.713
20 166 19.837
20 195 25.708
20 267 16.763
20 289 16.8
20 351 17.676
20 363 16.675
20 394 20.69
20 401 17.759
20 590 15.7
20 594 16.838
20 600 18.789
20 607 17.771
20 611 19.7
20 619 17.629
20 623 16.763
20 628 15.793
20 633 15.753
20 637 17.794
20 652 20.85
20 671 17.759
20 684 15.673
20 703 15.713
20 714 15.753
20 720 16.775
20 729 15.607
20 764 18.811
20 775 18.711
20 792 17.712
20 799 20.75
20 815 19.732
20 819 22.718
20 852 15.847
20 855 17.759
20 872 15.78
20 873 22.691
20 898 15.713
20 900 17.735
20 909 19.879
20 910 15.807
20 938 21.757
20 944 15.793
20 950 15.833
20 953 17.665
20 959 16.763
20 966 15.833
21 28 16.688
21 30 15.767
21 65 15.9
21 68 19.805
21 77 23.691
21 80 16.775
21 89 15.86
21 98 15.807
21 134 22.773
21 166 18.733
21 172 28.764
21 214 17.771
21 220 17.676
21 221 16.825
21 232 16.775
21 244 18.8
21 257 21.814
21 269 17.747
21 344 15.66
21 443 16.763
21 581 19.784
21 583 18.722
21 596 15.7
21 602 15.767
21 619 19.616
21 621 21.795
21 624 15.9
21 633 16.688
21 639 15.753
21 643 17.888
21 648 19.742
21 654 15.673
21 657 24.717
21 662 15.807
21 667 17.782
21 704 20.75
21 709 22.809
21 712 26.769
21 723 18.8
21 735 18.789
21 743 15.793
21 762 15.74
21 764 15.767
21 778 25.732
21 779 15.82
21 783 16.775
21 784 17.735
21 789 15.873
21 805 20.83
21 827 17.806
21 830 16.775
21 833 15.833
21 844 15.793
21 859 15.727
21 885 18.789
21 895 17.829
21 896 18.633
21 925 16.75
21 927 22.755
21 933 19.753
21 939 15.767
21 948 18.778
21 960 15.807
21 961 15.833
21 962 16.775
21 966 18.822
23 137 17.806
23 262 17.782
23 330 15.78
23 914 20.78
23 960 15.807
24 91 16.813
24 113 17.712
24 123 15.793
24 181 16.763
24 195 19.774
24 577 17.782
24 585 15.78
24 590 16.763
24 627 17.782
24 628 18.778
24 652 16.713
24 752 15.807
24 783 17.747
24 815 16.788
24 873 15.753
24 970 15.833
26 312 21.871
26 320 15.887
27 32 16.725
27 61 16.713
27 87 18.756
27 91 17.688
27 181 15.727
27 217 15.793
27 293 15.767
27 331 17.759
27 351 16.738
27 619 15.7
27 648 15.673
27 657 15.687
27 678 15.78
27 712 15.767
27 729 15.66
27 792 15.687
28 32 16.775
28 37 16.713
28 41 15.673
28 45 17.771
28 47 23.743
28 58 19.742
28 65 28.886
28 68 19.784
28 80 15.767
28 100 18.744
28 102 15.78
28 117 16.813
28 124 15.78
28 134 22.718
28 147 17.771
28 162 21.767
28 164 15.687
28 166 21.767
28 172 26.785
28 175 17.782
28 180 17.771
28 181 16.7
28 214 21.843
28 220 15.767
28 221 21.757
28 224 15.713
28 232 15.78
28 244 19.795
28 250 15.727
28 257 25.78
28 269 15.727
28 273 18.844
28 289 21.786
28 292 17.712
28 293 18.744
28 308 16.813
28 344 17.735
28 354 16.8
28 364 15.7
28 383 18.711
28 393 16.763
28 396 15.753
28 443 20.77
28 581 23.709
28 583 16.8
28 585 16.775
28 588 15.753
28 592 18.744
28 602 16.825
28 606 15.74
28 609 19.732
28 613 18.8
28 619 20.67
28 621 17.759
28 623 20.76
28 633 19.784
28 637 15.807
28 639 18.822
28 648 19.711
28 651 17.688
28 652 15.78
28 653 15.767
28 654 18.689
28 655 15.74
28 657 18.767
28 667 21.757
28 671 17.759
28 675 17.818
28 684 16.788
28 689 18.9
28 694 17.712
28 695 20.82
28 700 15.78
28 702 18.767
28 704 20.71
28 709 21.71
28 710 16.775
28 712 27.804
28 723 25.748
28 730 20.77
28 732 25.748
28 735 21.767
28 742 15.7
28 743 18.689
28 744 15.7
28 752 17.782
28 758 18.811
28 762 23.709
28 771 15.793
